37259;Астрахань;МинВоды;Дивное;;;;;;
23078;Диксон;Туруханск;Салехард;;;;;;
23472;Норильск;Тура;Бор;Александровское;Салехард;;;;
23884;Туруханск;Тура;Енисейск;Колпашево;Александровское;;;;
24507;Ванавара;Бор;Туруханск;Богучаны;Оленек;;;;
24908;Богучаны;Киренск;Тура;Витим;;;;;
29263;Богучаны;Бор;Емельяново;;;;;;
29282;Ванавара;Енисейск;Емельяново;Братск;Нижнеудинск;Тура;;;
29572;Нижнеудинск;Хакасская;Богучаны;Енисейск;Кызыл;;;;
29862;Емельяново;Кызыл;Новосибирск;Барнаул;;;;;
36096;Хакасская;Нижнеудинск;Емельяново;Ангарск;;;;;
27594;Безенчук;Киров;Нижний Новгород;Пенза;Уфа;Пермь;;;
23921;Ханты-Мансийск;Тобольск;Верхнее Дуброво;Пермь;Сыктывкар;;;;
28225;Ивдель;Уфа;Верхнее Дуброво;Казань;Киров;Сыктывкар;;;
28445;Ивдель;Тобольск;Курган;Уфа;Пермь;;;;
28661;Тобольск;Верхнее Дуброво;Омск;;;;;;
27612;Бологое;Сухиничи;Рязань;Нижний Новгород;Вологда;Смоленск;;;
26298;Долгопрудная (Москва);Вологда;Воейково;Великие Луки;Смоленск;Петрозаводск;;;
27730;Долгопрудная (Москва);Нижний Новгород;Сухиничи;Курск;Воронеж;;;;
26781;Великие Луки;Сухиничи;Долгопрудная (Москва);Бологое;Калининград;;;;
27707;Смоленск;Долгопрудная (Москва);Рязань;Воронеж;Курск;;;;
34009;Сухиничи;Воронеж;Рязань;Калач-на-Дону;;;;;
34122;Калач-на-Дону;Курск;Рязань;Сухиничи;Пенза;;;;
34247;Воронеж;Пенза;Саратов;Волгоград;Ростов-на-Дону;Курск;;;
25042;Черский;Омолон;Чокурдах;Зырянка;;;;;
25428;Черский;Зырянка;Сеймчан;О.Айон;;;;;
21432;Тикси;Чокурдах;Им.Е.К.Федорова;;;;;;
21824;О.Котельный;Чокурдах;Верхоянск;Жиганск;Оленек;Им.Е.К.Федорова;;;
21946;Черский;Зырянка;Тикси;Верхоянск;О.Котельный;О.Айон;;;
24125;Жиганск;Тикси;Тура;Мирный;;;;;
24266;Тикси;Жиганск;Якутск;Оймякон;Чокурдах;;;;
24343;Вилюйск;Оленек;Верхоянск;Якутск;Тикси;;;;
24641;Мирный;Жиганск;Олекминск;Якутск;;;;;
24688;Охотск;Сеймчан;Магадан;Зырянка;Верхоянск;;;;
24726;Витим;Олекминск;Вилюйск;Оленек;;;;;
24944;Вилюйск;Витим;Мирный;Чара;Алдан;Якутск;;;
24959;Алдан;Вилюйск;Олекминск;Жиганск;Верхоянск;Аян;;;
25123;О.Айон;Омолон;Зырянка;Чокурдах;;;;;
25400;Чокурдах;Черский;Омолон;Сеймчан;Оймякон;О.Айон;;;
30054;Мирный;Олекминск;Чара;Киренск;Ванавара;;;;
31004;Якутск;Олекминск;Чара;Зея;Аян;;;;
33966;Туапсе;Ростов-на-Дону;МинВоды;;;;;;
33008;Гомель;;;;;;;;
33041;Брест;;;;;;;;
